// Aqui se encontra os mobs que foram retirados, e serão adicionados quando surgirem seus respectivos episodios

//======================
//Some more G_Mobs and Xmas_Orc
1588,XMAS_ORC,Christmas Orc,24,1400,0,261,160,1,104,126,10,5,1,24,48,25,34,10,10,12,1,7,22,2693,200,1864,864,288,998,210,931,5500,756,40,2267,3,1352,10,1304,5,1301,100,0,0,0,0,4066,1,0,0,0,0,0,0,0,0,
1589,G_MANDRAGORA,Mandrágora,12,405,0,0,0,4,26,35,0,25,1,12,24,1,36,15,10,12,1,3,62,132,1000,1768,768,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1590,G_GEOGRAPHER,Planta Carnívora,56,8071,0,0,0,3,467,621,28,26,1,67,47,60,68,44,10,12,0,3,62,132,2000,1564,864,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1591,G_LUNATIC,Lunático,3,60,0,0,0,1,9,12,0,20,1,3,3,10,8,60,10,12,0,2,60,129,200,1456,456,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1592,G_MOBSTER,Yakuza,61,11347,0,0,0,1,910,1128,41,37,1,46,20,35,76,55,10,12,1,7,20,1685,250,1100,560,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1593,G_ANCIENT_MUMMY,Múmia Anciã,64,39760,0,0,0,1,836,1129,27,27,28,19,32,5,83,35,10,12,1,1,49,149,175,1772,120,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1594,G_FREEZER,Congelador,72,12263,0,0,0,2,672,984,55,43,69,41,59,5,67,100,10,12,1,2,41,53,250,1452,483,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1595,G_MARIN,Marin,15,742,0,0,0,1,39,43,0,10,1,10,10,5,35,15,10,12,1,3,41,1,400,1872,672,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1596,G_TAMRUAN,Tamruan,52,10234,0,0,0,1,489,534,38,94,26,20,15,0,60,45,10,10,1,6,62,181,190,872,560,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1597,G_GARGOYLE,Gárgula,48,3950,0,0,0,9,290,360,10,10,15,61,20,20,126,40,10,12,1,6,64,5,200,1020,720,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
