9,9,9,9,10,30,144,144
16,16,16,16,18,43,184,184
25,25,25,25,28,58,284,284
36,36,36,36,40,76,348,348
77,77,77,77,91,116,603,603
112,112,112,112,151,180,887,887
153,153,153,153,205,220,1096,1096
200,200,200,200,268,272,1598,1598
253,253,253,253,340,336,2540,2540
320,320,320,320,0,520,3676,3676
385,385,385,385,0,604,4290,4290
490,490,490,490,0,699,4946,4946
585,585,585,585,0,802,6679,6679
700,700,700,700,0,948,9492,9492
830,830,830,830,0,1125,12770,12770
970,970,970,970,0,1668,14344,14344
1120,1120,1120,1120,0,1937,16005,16005
1260,1260,1260,1260,0,2226,20642,20642
1420,1420,1420,1420,0,3040,27434,27434
1620,1620,1620,1620,0,3988,35108,35108
1860,1860,1860,1860,0,5564,38577,38577
1990,1990,1990,1990,0,6272,42206,42206
2240,2240,2240,2240,0,7021,52708,52708
2504,2504,2504,2504,0,9114,66971,66971
2950,2950,2950,2950,0,11473,82688,82688
3426,3426,3426,3426,0,15290,89544,89544
3934,3934,3934,3934,0,16891,96669,96669
4474,4474,4474,4474,0,18570,117821,117821
6889,6889,6889,6889,0,23229,144921,144921
7995,7995,7995,7995,0,28359,174201,174201
9174,9174,9174,9174,0,36478,186677,186677
10425,10425,10425,10425,0,39716,199584,199584
11748,11748,11748,11748,0,43088,238617,238617
13967,13967,13967,13967,0,52417,286366,286366
15775,15775,15775,15775,0,62495,337147,337147
17678,17678,17678,17678,0,78160,358435,358435
19677,19677,19677,19677,0,84175,380376,380376
21773,21773,21773,21773,0,90404,447685,447685
30543,30543,30543,30543,0,107611,526989,526989
34212,34212,34212,34212,0,125915,610246,610246
38065,38065,38065,38065,0,153941,644736,644736
42102,42102,42102,42102,0,191781,793535,793535
46323,46323,46323,46323,0,204351,921810,921810
53026,53026,53026,53026,0,248352,1106758,1106758
58419,58419,58419,58419,0,286212,1260955,1260955
64041,64041,64041,64041,0,386371,1487304,1487304
69892,69892,69892,69892,0,409795,1557657,1557657
75973,75973,75973,75973,0,482092,1990632,1990632
102468,102468,102468,102468,0,509596,2083386,2083386
115254,115254,115254,115254,0,0,0,0
128692,128692,128692,128692,0,0,0,0
142784,142784,142784,142784,0,0,0,0
157528,157528,157528,157528,0,0,0,0
178184,178184,178184,178184,0,0,0,0
196300,196300,196300,196300,0,0,0,0
215198,215198,215198,215198,0,0,0,0
234879,234879,234879,234879,0,0,0,0
255341,255341,255341,255341,0,0,0,0
330188,330188,330188,330188,0,0,0,0
365914,365914,365914,365914,0,0,0,0
403224,403224,403224,403224,0,0,0,0
442116,442116,442116,442116,0,0,0,0
482590,482590,482590,482590,0,0,0,0
536948,536948,536948,536948,0,0,0,0
585191,585191,585191,585191,0,0,0,0
635278,635278,635278,635278,0,0,0,0
687211,687211,687211,687211,0,0,0,0
740988,740988,740988,740988,0,0,0,0
925400,925400,925400,925400,0,0,0,0
1473746,1473746,1473746,1473746,0,0,0,0
1594058,1594058,1594058,1594058,0,0,0,0
1718928,1718928,1718928,1718928,0,0,0,0
1848355,1848355,1848355,1848355,0,0,0,0
1982340,1982340,1982340,1982340,0,0,0,0
2230113,2230113,2230113,2230113,0,0,0,0
2386162,2386162,2386162,2386162,0,0,0,0
2547417,2547417,2547417,2547417,0,0,0,0
2713878,2713878,2713878,2713878,0,0,0,0
3206160,3206160,3206160,3206160,0,0,0,0
3681024,3681024,3681024,3681024,0,0,0,0
4022472,4022472,4022472,4022472,0,0,0,0
4377024,4377024,4377024,4377024,0,0,0,0
4744680,4744680,4744680,4744680,0,0,0,0
5125440,5125440,5125440,5125440,0,0,0,0
5767272,5767272,5767272,5767272,0,0,0,0
6204000,6204000,6204000,6204000,0,0,0,0
6655464,6655464,6655464,6655464,0,0,0,0
7121664,7121664,7121664,7121664,0,0,0,0
7602600,7602600,7602600,7602600,0,0,0,0
9738720,9738720,9738720,9738720,0,0,0,0
11649960,11649960,11649960,11649960,0,0,0,0
13643520,13643520,13643520,13643520,0,0,0,0
18339300,18339300,18339300,18339300,0,0,0,0
23836800,23836800,23836800,23836800,0,0,0,0
35658000,35658000,35658000,35658000,0,0,0,0
48687000,48687000,48687000,48687000,0,0,0,0
58135000,58135000,58135000,58135000,0,0,0,0
99999999,99999999,99999999,99999999,0,0,0,0
0,0,0,0,0,0,0,0
