// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração do Old Blue Box Obtainable Items
//-----------------------------------------------

// Estrutura do Banco de Dados:
// ID do Grupo,ID do Item,Taxa

1,501,1	//Poção Vermelha
1,502,1	//Poção Laranja
1,503,1	//Poção Amarela
1,504,1	//Poção Branca
1,505,1	//Poção Azul
1,506,1	//Poção Verde
1,507,1	//Erva Vermelha
1,508,1	//Erva Amarela
1,509,1	//Erva Branca
1,510,1	//Erva Azul
1,511,1	//Erva Verde
1,512,1	//Maçã
1,513,1	//Banana
1,514,1	//Uva
1,515,1	//Cenoura
1,516,1	//Batata Doce
1,517,1	//Carne
1,518,1	//Mel
1,519,1	//Leite
1,520,1	//Folha de Hinalle
1,521,1	//Folha de Aloe
1,523,1	//Água Santa
1,525,1	//Panacéia
1,526,1	//Geléia Real
1,528,1	//Comida de Monstro
1,529,1	//Doce
1,530,1	//Bengala Doce
1,531,1	//Suco de Maçã
1,532,1	//Suco de Banana
1,533,1	//Suco de Uva
1,534,1	//Suco de Cenoura
1,535,1	//Abóbora
1,601,1	//Asa de Mosca
1,602,1	//Asa de Borboleta
1,603,1000	//Caixa Azul Velha
1,604,500	//Galho Seco
1,605,1	//Antibiótico
1,606,1	//Aloe Vera
1,607,1	//Fruto de Yggdrasil
1,608,1	//Semente de Yggdrasil
1,610,1	//Folha de Yggdrasil
1,611,1	//Lupa
1,612,1	//Mini Fornalha
1,613,1	//Martelo de Ferro
1,614,1	//Martelo de Ouro
1,615,1	//Martelo de Oridecon
1,617,1	//Caixa Roxa Velha
1,645,1	//Poção da Concentração
1,656,1	//Poção do Despertar
1,657,1	//Poção da Fúria Selvagem
1,701,1	//Armadilha de Insetos
1,702,1	//Sangue de Animal
1,703,1	//Hinalle
1,704,1	//Aloés
1,705,1	//Trevo
1,706,1	//Trevo de Quatro Folhas
1,707,1	//Planta da Melodia
1,708,1	//Menta
1,709,1	//Izidor
1,710,1	//Flor da Ilusão
1,711,1	//Broto
1,712,1	//Flor
