// MobID,Name,JName,ItemID,EggID,AcceID,FoodID,"Fullness (1回の餌での満腹度増加率%)","HungryDeray (/sec)","R_Hungry (空腹時餌やり親密度増加率%)","R_Full (とても満腹時餌やり親密度減少率%)","Intimate (捕獲時親密度%)","Die (死亡時親密度減少率%)","Capture (捕獲率%)","Speed"
// モンスターID,英語名前(ダミー),名前,捕獲用のアイテムID,卵のアイテムID,装備アクセサリーのアイテムID,餌のアイテムID,1回の餌での満腹度増加率%,
// 満腹度が1%減る為にかかる時間(秒),空腹時餌やり親密度増加量,とても満腹時餌やり親密度減少量,捕獲時親密度,死亡時親密度減少量,捕獲率%,移動速度,
// 捕獲率は*100の数値です。2000なら20%です。
1002,PORING,ポリン,619,9001,10013,531,80,20,50,100,250,20,2000,400,
1011,CHONCHON,チョンチョン,624,9006,10002,537,80,10,30,100,250,20,1500,200,
1014,SPORE,スポア,630,9012,10017,537,80,20,30,100,250,20,1500,200,
1019,PECOPECO,ペコペコ,632,9014,10010,537,80,15,30,100,250,20,1000,200,
1023,ORC_WARRIOR,オークウォリアー,635,9017,10009,537,80,12,20,100,250,20,500,200,
1026,MUNAK,ムナック,636,9018,10008,537,80,20,20,100,250,20,500,200,
1029,ISIS,イシス,639,9021,10006,537,80,20,10,100,250,20,500,200,
1031,POPORING,ポポリン,621,9003,10013,511,80,12,30,100,250,20,1000,300,
1035,HUNTER_FLY,ハンターフライ,626,9008,10002,716,80,12,10,100,250,20,500,150,
1042,STEEL_CHONCHON,スティールチョンチョン,625,9007,10002,1002,80,12,20,100,250,20,1000,150,
1049,PICKY,ピッキ,623,9005,10012,507,80,15,40,100,250,20,2000,200,
1052,ROCKER,ロッカー,629,9011,10014,537,80,60,30,100,250,20,1500,200,
1056,SMOKIE,スモーキー,633,9015,10019,537,80,15,30,100,250,20,1000,200,
1057,YOYO,ヨーヨー,634,9016,10018,532,80,12,20,100,250,20,1000,200,
1063,LUNATIC,ルナティック,622,9004,10007,534,80,15,40,100,250,20,1500,200,
1077,POISON_SPORE,ポイズンスポア,631,9013,10017,537,80,20,20,100,250,20,1000,200,
1101,BAPHOMET_Jr,バフォメットJｒ.,642,9024,10001,518,80,30,10,100,250,20,200,100,
1107,DESERT_WOLF_B,子デザートウルフ,628,9010,10003,537,80,10,40,100,250,20,1000,300,
1109,DEVIRUCHI,デビルチ,641,9023,10004,711,80,30,10,100,250,20,500,150,
1110,DOKEBI,ドケビ,637,9019,10005,537,80,15,20,100,250,20,500,250.
1113,DROPS,ドラップス,620,9002,10013,508,80,15,40,100,250,20,1500,400,
1155,PETIT,プティット,640,9022,10011,537,80,15,20,100,250,20,500,200,
1167,SAVAGE_BABE,サベージベベ,627,9009,10015,537,80,9,40,100,250,20,1500,400,
1170,SHOEE,ソヒー,638,9020,10016,537,80,20,10,100,250,20,500,300,
1188,BON_GUN,ボンゴン,659,9025,10020,537,80,20,10,100,250,20,500,200,
//1200,ZHERLTHSH,ジルタス,660,9026,0,537,80,20,10,100,250,20,50,200,
//1275,ALICE,アリス,661,9027,0,537,80,20,10,100,250,20,100,200,
