// Banco de dados obtidos por Old Violet Box
//
// Estrutura de banco de dados:
// GroupID,ItemID,Rate

2,2102,1	//Vembrassa
2,2104,1	//Broquel
2,2106,1	//Escudo
2,2108,1	//Escudo Espelhado
2,2109,1	//Grimório
2,2112,1	//Vembrassa do Aprendiz
2,2302,1	//Camisa de Algodão
2,2304,1	//Gibão
2,2306,1	//Túnica
2,2308,1	//Capote
2,2310,1	//Casaco
2,2311,1	//Casaco de Pele
2,2313,1	//Armadura Acolchoada
2,2315,1	//Mangual Pesado Mail
2,2317,1	//Armadura Metálica
2,2318,1	//Vestimental Nobre
2,2320,1	//Paletó
2,2322,1	//Manto de Seda
2,2324,1	//Escapulário
2,2326,1	//Manto Sagrado
2,2329,1	//Armadura de Madeira
2,2331,1	//Malha
2,2333,1	//Manto Prateado
2,2336,1	//Traje de Gatuno
2,2337,1	//Indumentária Ninja
2,2338,1	//Vestido de Casamento
2,2339,1	//Roupa de Baixo
2,2340,1	//Armadura de Aprendiz
2,2352,1	//Traje do Aprendiz
2,2402,1	//Sandálias
2,2404,1	//Sapatos
2,2406,1	//Botas
2,2407,1	//Sapatilha de Cristal
2,2408,1	//Grilhões
2,2409,1	//Salto Alto
2,2411,1	//Grevas
2,2414,1	//Sandálias do Aprendiz
2,2502,1	//Capuz
2,2504,1	//Sobrepeliz
2,2506,1	//Manteau
2,2507,1	//Capa do Marquês
2,2508,1	//Capa Velha
2,2510,1	//Capuz do Aprendiz
2,2601,1	//Anel
2,2602,1	//Brinco
2,2603,1	//Colar
2,2604,1	//Luvas
2,2605,1	//Broche
2,2607,1	//Presilha
2,2608,1	//Rosário
2,2609,1	//Anel de Caveira
2,2610,1	//Ouro Ring
2,2611,1	//Anel de Prata
2,2612,1	//Flor Ring
2,2613,1	//Anel de Diamante
2,2617,1	//Luva Sacra
2,2618,1	//Coleira de Matyr
2,2627,1	//Cinto
2,2628,1	//Bracelete de Aprendiz
2,1117,1	//Kataná
2,1152,1	//Espada Matadora
2,1155,1	//Espada Bastarda
2,1158,1	//Espada de Duas Mãos
2,1162,1	//Espada Larga
2,1163,1	//Claymore
2,1251,1	//Jur
2,1253,1	//Katar
2,1255,1	//Jamadhar
2,1256,1	//Katar Gélida
2,1257,1	//Katar da Espinheira Empoeirada
2,1258,1	//Katar da Chama Impetuosa
2,1259,1	//Katar do Vento Perfurante
2,1352,1	//Machado de Batalha
2,1355,1	//Marreta
2,1358,1	//Demolidor
2,1361,1	//Machado de Duas Mãos
2,1411,1	//Lança
2,1452,1	//Guisarme
2,1455,1	//Glaive
2,1458,1	//Guerrilheira
2,1461,1	//Tridenteee
2,1464,1	//Alabarda
2,1472,1	//Cajado Cabalístico
2,1702,1	//Arco
2,1705,1	//Arco Composto
2,1708,1	//Arco Grande
2,1711,1	//Besta
2,1715,1	//Arbaleste
2,1716,1	//Gakkung
2,1718,1	//Arco de Caça
2,1102,1	//Espada
2,1105,1	//Alfanje
2,1108,1	//Lâmina
2,1111,1	//Florete
2,1114,1	//Cimitarra
